CO_UF;UF;SIG_UF;CO_MUNICIPIO;MUNICIPIO;CO_REGIAO;CO_MESORREGIAO;CO_MICRORREGIAO;CO_ENTIDADE;NO_ENTIDADE;POPULACAO_ESTIMADA;N_MATRICULA_MUN;N_MATRICULA_ENT;N_MATRICULA_INTEGRAL_ENT;N_EJA_MUN;N_EJA_ENT;PROPORCAO_MATRICULA_POPULACAO_MUN;PROPORCAO_EJA_MATRICULA_MUN;PROPORCAO_ENT_MATRICULA;PROPORCAL_INTEGRAL_ENT
51;Mato Grosso;MT;5107800;Santo Antônio do Leverger;5;5104;51017;51041596;EMEB BOA VENTURA;16628;5649;249;0;8940;164;3.39728169352899E+16;1.58258098778545E+16;0.0440785979819437;0
51;Mato Grosso;MT;5107875;Sapezal;5;5101;51004;51064731;CMEI NIBELE VEFAGO;25881;9759;325;125;21350;NULL;3.77071983308218E+15;2.18772415206476E+16;0.0333025924787376;0.384615384615385
51;Mato Grosso;MT;5106505;Poconé;5;5104;51018;51087375;CM BENEDITA GONCALINA CORREA MARQUES DO CARMO;32843;9285;122;122;7600;NULL;2.82708644155528E+15;8.1852450188476E+15;0.0131394722670975;1
50;Mato Grosso do Sul;MS;5003702;Dourados;5;5004;50010;50015885;EE ABIGAIL BORRALHO;222949;60883;371;NULL;31690;NULL;2.730803905826E+15;520506545341064;0.00609365504327973;NULL
52;Goias;GO;5211909;Jataí;5;5205;52013;52111407;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;100882;23357;158;NULL;9160;NULL;2.31527923712853E+16;3.92173652438241E+16;0.00676456736738451;NULL
50;Mato Grosso do Sul;MS;5002704;Campo Grande;5;5002;50004;50007491;ESCOLA AMARELINHA - COLEGIO YELLOW;895982;233503;218;NULL;105920;25;2.60611262279823E+16;4.53613015678599E+15;0.000933606848734278;NULL
51;Mato Grosso;MT;5102793;Carlinda;5;5101;51002;51004470;E M CECILIA MEIRELES;10305;2455;158;0;1430;NULL;2.38233867054828E+16;5.82484725050917E+15;0.0643584521384929;0
51;Mato Grosso;MT;5104559;Itaúba;5;5101;51007;51015498;EE PAPA JOAO PAULO II;3802;1367;647;NULL;1200;90;3.59547606522883E+15;8.77834674469642E+15;0.473299195318215;NULL
52;Goias;GO;5205406;Ceres;5;5203;52006;52015432;CENTRO DE ENSINO EM PERIODO INTEGRAL PROFESSORA MARIA CARMELITA MACEDO CORREA;22191;6822;188;NULL;1220;NULL;307421927808571;1.78833186748754E+16;0.0275579009088244;NULL
52;Goias;GO;5200258;Águas Lindas de Goiás;5;5204;52012;52086089;COLEGIO ESTADUAL ULYSSES GUIMARAES;212440;53455;412;NULL;25360;NULL;2.51623987949539E+15;4.74417734543074E+15;0.00770741745393322;NULL
52;Goias;GO;5200134;Acreúna;5;5205;52014;52082571;ESCOLA MUNICIPAL TIA LOURDES;22366;4704;336;0;3260;NULL;2.10319234552446E+16;6.93027210884354E+15;0.0714285714285714;0
50;Mato Grosso do Sul;MS;5002100;Bela Vista;5;5004;50009;50014072;EM SAO CLEMENTE - POLO;24629;6669;159;0;1650;NULL;2.70778350724755E+16;2.47413405308142E+16;0.0238416554206028;0
51;Mato Grosso;MT;5103403;Cuiabá;5;5104;51017;51089661;CRECHE MUN JOSEFA DA SILVA PARENTE;612547;163720;119;119;147190;NULL;2.67277449730388E+16;8.9903493769851E+15;0.000726850720742731;1
